License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Number,Agency Zone Office Name,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,ZIP,License Certificate Number,License Received Date
3162367,"GROCERY CHAIN, BEER ONLY",128,A,3,Buffalo,CHAUTAUQUA,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #18261,50 E MAIN ST ,,RIPLEY,NY,14775,,02/22/2019
3162368,RESTAURANT WINE,341,RW,3,Buffalo,CHAUTAUQUA,FIVE LOAVES AND A COUPLE OF FISHES INC,THE MUSTARD SEED,31 E MAIN ST ,,FREDONIA,NY,14063,,02/22/2019
3162370,ON-PREMISES LIQUOR,252,OP,3,Buffalo,MONROE,ROYAL OF INDIA LLC,ROYAL OF INDIA,300 PARK POINT DR,,ROCHESTER,NY,14623,,02/22/2019
3162373,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ERIE,FOOTPRINTS CULTURE LLC,,341 343 SOMERVILLE RD,,TONAWANDA,NY,14150,,02/26/2019
3162374,CATERING ESTABLISHMENT,246,CT,3,Buffalo,NIAGARA,BUDUCCI'S EVENT CENTER LLC,BUDUCCI'S EVENT CENTER,82 MEAD ST,,NORTH TONAWANDA,NY,14120,,02/26/2019
3162375,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,MONROE,DEWEY & EMERSON GROCERY INC,,510 DEWEY AVE,,ROCHESTER            ,NY,14613,,02/26/2019
3162378,RESTAURANT WINE,341,RW,3,Buffalo,ERIE,BING BRAND INC,RIN THAI BISTRO,982 988 ELMWOOD AVE ,,BUFFALO              ,NY,14222,,02/26/2019
3162379,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,MONROE,AKRAM MINI MARKET INC,,1226 N CLINTON AVE,,ROCHESTER            ,NY,14621,,02/26/2019
3162381,TAVERN WINE,344,TW,3,Buffalo,MONROE,AXES & ALES LLC,,349 EAST AVE,,ROCHESTER            ,NY,14604,,02/26/2019
3162383,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ERIE,RHEARTS FAMILY RESTAURANT LLC,THE LEGACY,3 E MAIN ST,,SPRINGVILLE,NY,14141,,02/26/2019
